slug,name,action,entity_type,postcode,city,local_site
ldlc-vr-studio,LDLC VR Studio,unflag,company,69570,Dardilly,1
le-19-novembre-2026,Le 19 novembre 2026,reject,,,,
le-30-juin-2026,Le 30 juin 2026,reject,,,,
le-9-et-10-septembre-2026,Le 9 et 10 septembre 2026,reject,,,,
le-campus-numerique-in-the-alps,Le Campus Numérique in the Alps,keep,ecosystem_support,38000,Grenoble,
le-club-des-entreprises-de-luniversite-savoie-mont-blanc,Le Club des Entreprises de l’Universite Savoie Mont Blanc,unflag,ecosystem_support,73370,Le Bourget-Du-Lac,1
le-premier-souffle,Le Premier souffle,reject,,,,
le-projet-adele,Le projet ADELE,reject,,,,
legal-insight,Legal Insight,unflag,company,73000,Chambery,1
les-oies-du-cyber,Les Oies du Cyber,unflag,company,69003,Lyon,1
les-outils-actuels,Les outils actuels,reject,,,,
leviatan,LEVIATAN,unflag,company,73100,Aix-Les-Bains,1
leyton,Leyton,unflag,company,69006,Lyon,1
life-01,LIFE 01,keep,company,38600,Fontaine,
linking-simple-physical-rules,Linking simple physical rules,reject,,,,
linxens,Linxens,unflag,company,63000,Clermont-Ferrand,1
liotys,LIOTYS,unflag,company,69740,Genas,1
lors-de-la-semaine-du-cerveau-2026,Lors de la semaine du Cerveau 2026,reject,,,,
ltc-services,LTC Services,keep,company,38000,Grenoble,
lupise,LUPISE,unflag,company,59710,Avelin,1
lynred-et-le-carnot-cea-leti,Lynred et le Carnot CEA LETI,reject,,,,
lyon-place-financiere,Lyon Place Financière,unflag,ecosystem_support,69002,Lyon,1
maia-medical-technologies,MAIA Medical Technologies,keep,company,38400,Saint-Martin-D'Hères,
manpower-france,Manpower France,unflag,corporate,69003,Lyon,1
manutech-usd,Manutech USD,unflag,company,42000,Saint Etienne,1
marbulb,marbulb,keep,company,38000,Grenoble,
marie-charlotte-picard,Marie-Charlotte Picard,reject,,,,
marion-papin,Marion Papin,reject,,,,
marius-bozga,Marius Bozga,reject,,,,
martin-gandon,Martin Gandon,reject,,,,
mathematics,Mathematics,reject,,,,
mathis-brier,Mathis Brier,reject,,,,
matvisio,MATVISIO,unflag,company,69001,Lyon,1
meanwhile,Meanwhile,unflag,company,69100,Villeurbanne,1
meca-magnetic,MECA MAGNETIC,unflag,company,69003,Lyon,1
mediane-systeme,Médiane Système,keep,company,38130,Echirolles,
meerai-io,MEERAI.IO,unflag,company,63000,Clermont-Ferrand,1
mems,MEMS,reject,,,,
menta,Menta,unflag,company,06560,Valbonnes,1
merck-electronics-m-i,Merck Electronics M&I,keep,corporate,38330,Saint-Ismier,
mesurer-la-ville,Mesurer la ville,reject,,,,
metropole-de-lyon,Métropole de Lyon,unflag,ecosystem_support,69003,Lyon,1
mga-technologies,MGA Technologies,unflag,company,,,1
micelia,Micelia,keep,company,38100,Grenoble,
mickael-lesurtel,Mickael Lesurtel,reject,,,,
microlight3d,MICROLIGHT3D,keep,company,38700,La Tronche,
microtest,MICROTEST,unflag,company,84830,Sérignan Du Comtat,1
microworld,Microworld,keep,company,38120,Fontanil-Cornillon,
migrants,Migrants,reject,,,,
mille47-conseil-coaching,Mille47 Conseil & Coaching,keep,company,38000,Grenoble,
mimo-detect,MIMO Detect,unflag,company,69200,Vénissieux,1
mimorian,Mimorian,unflag,company,69300,Caluire Et Cuire,1
minatec-entreprises,Minatec Entreprises,keep,company,38024,Grenoble,
mivi,MiVi,keep,company,38320,Brie-Et-Angonnes,
modeling,Modeling,reject,,,,
moncreno-france,Moncreno France,unflag,company,73300,Fontcouverte-La-Toussuire,1
mountain,MountAIn,keep,company,38240,Meylan,
multivalente,Multivalente,unflag,company,69370,Saint Didier Au Mont D'Or,1
mxds,MXDS,unflag,company,74000,Annecy,1
my-digital-buildings,My Digital Buildings,keep,company,38410,Vaulnaveys Le Haut,
myakiatto,Myakiatto,unflag,company,63000,Clermont-Ferrand,1
mycronic-saint-egreve,Mycronic Saint-Egrève,keep,company,38120,Saint Egreve,
napletsys,NAPLETSYS,unflag,company,74490,Saint Jeoire,1
ncab-group,NCAB Group,unflag,company,45700,Villemandeur,1
nellow,Nellow,keep,company,38000,Grenoble,
neovision,Neovision,keep,company,38000,Grenoble,
nestore-green-technologies,Nestore Green Technologies,unflag,company,42300,Roanne,1
netman,Netman,unflag,corporate,76190,Valliquerville,1
new-macroscopic-windows-into-spin-ice,New Macroscopic Windows into Spin Ice,reject,,,,
newsletter,Newsletter,reject,,,,
nicomatic,NICOMATIC,unflag,corporate,74890,Bons-En-Chablais,1
noctix,Noctix,unflag,company,73190,Challes-Les-Eaux,1
noet-ia,noet-ia,keep,company,38140,Apprieu,
notre-mission,Notre mission,reject,,,,
nour-chiboub,Nour Chiboub,reject,,,,
novilix,Novilix,keep,company,38100,Grenoble,
nsoc,NSOC,unflag,company,69480,Anse,1
nt2i,NT2I,unflag,company,42000,Saint-Étienne,1
numerisat,Numerisat,unflag,company,73370,Le Bourget-Du-Lac,1
o-techno,O-TECHNO,keep,company,38240,Meylan,
oberon-sciences,OBERON SCIENCES,keep,company,38190,Villard-Bonnot,
obo-world,Obo World,unflag,company,74000,Annecy,1
of-bandits-and-bohr-magnetons,Of bandits and Bohr magnetons,reject,,,,
olivier-gaudoin,Olivier Gaudoin,reject,,,,
omundu,Omundu,unflag,company,69003,Lyon,1
on-10-july,On 10 July,reject,,,,
on-friday-april-24th,On Friday April 24th,reject,,,,
on-july-8th,On July 8th,reject,,,,
on-march-11th,On March 11th,reject,,,,
on-may-13th,On May 13th,reject,,,,
on-thursday-may-07th,On Thursday May 07th,reject,,,,
on-tuesday,On Tuesday,reject,,,,
on-tuesday-february-17th-2026,On Tuesday February 17th 2026,reject,,,,
on-wednesday-may-27th,On Wednesday May 27th,reject,,,,
one-ortho,One Ortho,unflag,company,69230,Saint Genis Laval,1
onetreck,OneTreck,keep,company,38000,Grenoble,
onlylyon-invest,ONLYLYON Invest,unflag,ecosystem_support,69002,Lyon,1
oorion,OOrion,unflag,company,69006,Lyon,1
opencaps,OpenCaps,unflag,company,69003,Lyon,1
opening-postdoctoral-position,Opening Postdoctoral Position,reject,,,,
optimistik,Optimistik,unflag,company,73000,Chambéry,1
optimiz-network,Optimiz Network,unflag,company,42000,Saint-Etienne,1
optimization,Optimization,reject,,,,
opto-france,Opto France,unflag,company,26740,Montboucher Sur Jabron,1
oriel,Oriel,keep,company,38240,Meylan,
orioma-sas,ORIOMA SAS,keep,company,38430,Moirans,
oslandia,Oslandia,unflag,company,69001,Lyon,1
osmoz-it,Osmoz-IT,unflag,company,74520,Valleiry,1
oussama-oulkaid,Oussama Oulkaid,reject,,,,
ovioo,Ovioo,keep,company,38410,Saint Martin D'Uriage,
